
Randaugment!
Number of final features: 405
Number of model parameters: 1018900
Epoch: [1][70/449]	Time 0.204 (0.208)	Loss 1.8098 (1.8251)	Prec@1 21.875 (25.670)	
Epoch: [1][80/449]	Time 0.206 (0.208)	Loss 1.7718 (1.8169)	Prec@1 29.688 (26.074)	
Epoch: [1][90/449]	Time 0.208 (0.208)	Loss 1.8442 (1.8164)	Prec@1 18.750 (26.007)	
Epoch: [1][100/449]	Time 0.212 (0.208)	Loss 1.7941 (1.8144)	Prec@1 28.125 (26.125)	
Epoch: [1][110/449]	Time 0.211 (0.208)	Loss 1.8999 (1.8151)	Prec@1 25.000 (25.938)	
Epoch: [1][120/449]	Time 0.209 (0.208)	Loss 1.7830 (1.8130)	Prec@1 31.250 (26.107)	
Epoch: [1][130/449]	Time 0.207 (0.208)	Loss 1.7564 (1.8115)	Prec@1 25.000 (26.238)	
Epoch: [1][140/449]	Time 0.207 (0.208)	Loss 1.8362 (1.8099)	Prec@1 18.750 (26.317)	
Epoch: [1][150/449]	Time 0.209 (0.208)	Loss 1.7337 (1.8085)	Prec@1 29.688 (26.177)	
Epoch: [1][160/449]	Time 0.208 (0.208)	Loss 1.7601 (1.8064)	Prec@1 26.562 (26.143)	
Epoch: [1][170/449]	Time 0.208 (0.208)	Loss 1.7940 (1.8051)	Prec@1 18.750 (25.993)	
Epoch: [1][180/449]	Time 0.207 (0.208)	Loss 1.8037 (1.8031)	Prec@1 18.750 (26.120)	
Epoch: [1][190/449]	Time 0.208 (0.208)	Loss 1.8730 (1.8015)	Prec@1 18.750 (26.053)	
Epoch: [1][200/449]	Time 0.208 (0.208)	Loss 1.7706 (1.8015)	Prec@1 26.562 (25.969)	
Epoch: [1][210/449]	Time 0.208 (0.208)	Loss 1.7999 (1.8022)	Prec@1 25.000 (25.938)	
Epoch: [1][220/449]	Time 0.207 (0.208)	Loss 1.8530 (1.8016)	Prec@1 26.562 (26.023)	
Epoch: [1][230/449]	Time 0.208 (0.208)	Loss 1.7480 (1.8002)	Prec@1 25.000 (26.073)	
Epoch: [1][240/449]	Time 0.209 (0.208)	Loss 1.7599 (1.7985)	Prec@1 26.562 (26.211)	
Epoch: [1][250/449]	Time 0.206 (0.208)	Loss 1.7281 (1.7970)	Prec@1 31.250 (26.275)	
Epoch: [1][260/449]	Time 0.208 (0.208)	Loss 1.7115 (1.7967)	Prec@1 26.562 (26.166)	
Epoch: [1][270/449]	Time 0.207 (0.208)	Loss 1.8088 (1.7965)	Prec@1 28.125 (26.192)	
Epoch: [1][280/449]	Time 0.187 (0.208)	Loss 1.7947 (1.7964)	Prec@1 31.250 (26.233)	
Epoch: [1][290/449]	Time 0.139 (0.205)	Loss 1.6508 (1.7958)	Prec@1 32.812 (26.212)	
Epoch: [1][300/449]	Time 0.146 (0.203)	Loss 1.8682 (1.7964)	Prec@1 31.250 (26.203)	
Epoch: [1][310/449]	Time 0.139 (0.202)	Loss 1.7354 (1.7943)	Prec@1 25.000 (26.316)	
Epoch: [1][320/449]	Time 0.157 (0.200)	Loss 1.7162 (1.7943)	Prec@1 34.375 (26.333)	
Epoch: [1][330/449]	Time 0.205 (0.199)	Loss 1.7699 (1.7931)	Prec@1 28.125 (26.416)	
Epoch: [1][340/449]	Time 0.206 (0.199)	Loss 1.8115 (1.7926)	Prec@1 21.875 (26.443)	
Epoch: [1][350/449]	Time 0.209 (0.200)	Loss 1.7612 (1.7921)	Prec@1 34.375 (26.446)	
