
Randaugment!
Number of final features: 573
Number of model parameters: 1854556
Epoch: [1][70/449]	Time 0.355 (0.344)	Loss 1.8041 (1.7991)	Prec@1 21.875 (27.143)	
Epoch: [1][80/449]	Time 0.351 (0.345)	Loss 1.8336 (1.7959)	Prec@1 21.875 (27.246)	
Epoch: [1][90/449]	Time 0.349 (0.346)	Loss 1.7296 (1.7992)	Prec@1 32.812 (26.927)	
Epoch: [1][100/449]	Time 0.348 (0.346)	Loss 1.7841 (1.7984)	Prec@1 25.000 (27.109)	
Epoch: [1][110/449]	Time 0.347 (0.346)	Loss 1.8205 (1.7993)	Prec@1 21.875 (27.060)	
Epoch: [1][120/449]	Time 0.246 (0.340)	Loss 1.7604 (1.7988)	Prec@1 31.250 (27.214)	
Epoch: [1][130/449]	Time 0.251 (0.333)	Loss 1.6787 (1.7989)	Prec@1 31.250 (27.308)	
Epoch: [1][140/449]	Time 0.259 (0.327)	Loss 1.7914 (1.7995)	Prec@1 32.812 (27.254)	
Epoch: [1][150/449]	Time 0.341 (0.326)	Loss 1.7820 (1.7967)	Prec@1 25.000 (27.354)	
Epoch: [1][160/449]	Time 0.344 (0.328)	Loss 1.6675 (1.7991)	Prec@1 39.062 (27.295)	
Epoch: [1][170/449]	Time 0.356 (0.329)	Loss 1.8068 (1.7994)	Prec@1 25.000 (27.270)	
Epoch: [1][180/449]	Time 0.347 (0.329)	Loss 1.8006 (1.8000)	Prec@1 26.562 (27.144)	
Epoch: [1][190/449]	Time 0.253 (0.328)	Loss 1.7417 (1.7977)	Prec@1 31.250 (27.113)	
Epoch: [1][200/449]	Time 0.347 (0.324)	Loss 1.8769 (1.7975)	Prec@1 23.438 (27.180)	
Epoch: [1][210/449]	Time 0.348 (0.326)	Loss 1.9827 (1.7962)	Prec@1 21.875 (27.232)	
Epoch: [1][220/449]	Time 0.349 (0.327)	Loss 1.7184 (1.7960)	Prec@1 32.812 (27.237)	
Epoch: [1][230/449]	Time 0.350 (0.328)	Loss 1.6281 (1.7960)	Prec@1 35.938 (27.167)	
Epoch: [1][240/449]	Time 0.349 (0.329)	Loss 1.7859 (1.7949)	Prec@1 29.688 (27.220)	
Epoch: [1][250/449]	Time 0.355 (0.330)	Loss 1.7797 (1.7934)	Prec@1 21.875 (27.269)	
Epoch: [1][260/449]	Time 0.348 (0.330)	Loss 1.7240 (1.7934)	Prec@1 31.250 (27.242)	
Epoch: [1][270/449]	Time 0.349 (0.331)	Loss 1.8383 (1.7934)	Prec@1 21.875 (27.251)	
Epoch: [1][280/449]	Time 0.352 (0.332)	Loss 1.7189 (1.7921)	Prec@1 28.125 (27.204)	
Epoch: [1][290/449]	Time 0.349 (0.332)	Loss 1.7535 (1.7915)	Prec@1 26.562 (27.198)	
Epoch: [1][300/449]	Time 0.350 (0.333)	Loss 1.6922 (1.7901)	Prec@1 32.812 (27.276)	
Epoch: [1][310/449]	Time 0.348 (0.334)	Loss 1.8223 (1.7893)	Prec@1 14.062 (27.278)	
Epoch: [1][320/449]	Time 0.345 (0.334)	Loss 1.6863 (1.7878)	Prec@1 31.250 (27.285)	
Epoch: [1][330/449]	Time 0.332 (0.334)	Loss 1.6976 (1.7868)	Prec@1 42.188 (27.443)	
Epoch: [1][340/449]	Time 0.345 (0.334)	Loss 1.8525 (1.7872)	Prec@1 25.000 (27.390)	
Epoch: [1][350/449]	Time 0.348 (0.334)	Loss 1.7313 (1.7858)	Prec@1 21.875 (27.469)	
Epoch: [1][360/449]	Time 0.353 (0.335)	Loss 1.7338 (1.7856)	Prec@1 25.000 (27.413)	
Epoch: [1][370/449]	Time 0.349 (0.335)	Loss 1.7735 (1.7847)	Prec@1 23.438 (27.394)	
Epoch: [1][380/449]	Time 0.351 (0.335)	Loss 1.7063 (1.7835)	Prec@1 28.125 (27.389)	
Epoch: [1][390/449]	Time 0.353 (0.336)	Loss 1.7376 (1.7828)	Prec@1 26.562 (27.416)	
Epoch: [1][400/449]	Time 0.347 (0.336)	Loss 1.7001 (1.7823)	Prec@1 29.688 (27.383)	
Epoch: [1][410/449]	Time 0.347 (0.337)	Loss 1.7692 (1.7821)	Prec@1 29.688 (27.313)	
Epoch: [1][420/449]	Time 0.352 (0.337)	Loss 1.8025 (1.7820)	Prec@1 20.312 (27.258)	
Epoch: [1][430/449]	Time 0.354 (0.337)	Loss 1.7941 (1.7827)	Prec@1 15.625 (27.220)	
Epoch: [1][440/449]	Time 0.354 (0.338)	Loss 1.6877 (1.7811)	Prec@1 32.812 (27.298)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [1][113/113]	Time 0.028 (0.102)	Loss 1.7586 (1.9369)	Prec@1 30.000 (25.439)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Best accuracy:  25.43884090275843
Epoch: [2][10/449]	Time 0.353 (0.362)	Loss 1.7828 (1.7266)	Prec@1 31.250 (31.250)	
Epoch: [2][20/449]	Time 0.350 (0.357)	Loss 1.7377 (1.7497)	Prec@1 31.250 (30.156)	
Epoch: [2][30/449]	Time 0.353 (0.355)	Loss 1.7136 (1.7527)	Prec@1 28.125 (29.948)	
Epoch: [2][40/449]	Time 0.350 (0.354)	Loss 1.6621 (1.7535)	Prec@1 29.688 (29.453)	
Epoch: [2][50/449]	Time 0.347 (0.353)	Loss 1.6679 (1.7501)	Prec@1 35.938 (29.125)	
